sentimen,ulasan
Positif,"- Saya dibuat merasa sangat disambut ketika saya pertama kali memulai dan saya tidak pernah merasa seperti saya adalah 'beban' atau 'ketidaknyamanan' untuk berlatih.Saya bekerja di admin dan meskipun saya memiliki pengalaman 8 tahun sebelumnya bekerja dalam peran berbasis admin sebelum memulai pekerjaan di AFH, saya tidak pernah bekerja dalam industri keuangan - jadi ada banyak hal yang harus dipelajari, tetapi saya menikmati mempelajari sesuatu yang barusetiap hari!
- Manajemen memungkinkan rekrutan baru untuk belajar dengan kecepatan mereka sendiri dan memfasilitasi gaya belajar mereka sendiri ketika melatih orang baru untuk peran mereka.AFH Memberikan Pengetahuan Produk yang Berkelanjutan Pelatihan Penyegaran, jadi, jika ada sesuatu yang tidak 'mengklik' pertama kali, Anda mungkin memahaminya jauh lebih baik setelah memiliki beberapa pengalaman dalam peran baru Anda & duduk dalam sesi pelatihan penyegaran lagi.
- Mengetahui bahwa melalui pekerjaan saya, saya dapat membantu orang lain, apakah itu klien, rekan kerja, penasihat, pengawas atau manajemen;Memberikan informasi yang diperlukan dan menjawab pertanyaan - bagi saya itu adalah salah satu pro terbesar, kepuasan kerja.
- Mengetahui bahwa manajemen mempercayai saya untuk menggunakan inisiatif saya sendiri untuk membuat & mengimplementasikan strategi baru sambil mengerjakan proyek besar.
- Ada kemungkinan besar untuk memajukan karier Anda dan bergerak dalam bisnis.
- Manajemen mengakui upaya Anda dan berusaha keras untuk berterima kasih ketika Anda telah bekerja keras.
- Diperlakukan dengan hormat dan kebaikan & merasa dihargai sebagai karyawan. 
- Lingkungan yang serba cepat, tidak pernah ada momen yang membosankan dan waktu di tempat kerja berlalu!
- Paket manfaat bagus.
- Rekan kerja yang mendukung dan ramah.
- Bangunan kantor yang indah untuk bekerja.
- Daftar pro bisa berlanjut ... tapi saya akan berada di sini sepanjang hari.Saya menyukai pekerjaan dan perusahaan saya."
Positif,"AFH adalah perusahaan yang hebat untuk bekerja.Kursus pelatihan yang tersedia brilian, dari pelatihan Excel hingga pengetahuan produk, semua kursus tersedia untuk semua staf.Setiap orang menyenangkan dan ramah.CEO selalu mengakui Anda ketika dia melihat Anda, seperti halnya semua manajemen.Kami memiliki acara staf tahunan (acara musim panas dan pesta Natal) yang merupakan cara yang bagus untuk bergaul dengan staf dari tingkat lain kantor.Ada sejumlah pro lain untuk bekerja untuk AFH seperti:
- Diskon di pusat kebugaran setempat
- Menyimpan skema
- Family Fun Day BBQS
- Suasana hebat bekerja di kantor
- Bonus tahunan
- Parkir aman
- Payrise berdasarkan kinerja ..
... Daftar itu bisa berlanjut !!

Secara teratur sepanjang tahun, CEO dan kepala SDM bertemu dengan perwakilan dari masing -masing tim di forum karyawan.Mereka mendengarkan ide dan cara untuk meningkatkan hal -hal dari staf di seluruh perusahaan. 
Kami memiliki intranet yang membuat kami diperbarui saat berlanjut dari seluruh bisnis.CEO juga melakukan presentasi untuk memberi tahu kami tentang kinerja kami dan sekali lagi kesempatan untuk mengajukan pertanyaan yang mungkin kami miliki.

Secara keseluruhan, saya sangat menikmati bekerja untuk AFH!"
Negatif,"Kurangnya peluang perkembangan.

Pengalaman manajemen bukanlah yang terbaik."
Negatif,"Manajemen tidak mendengarkan karyawan mereka, melihat banyak orang berbakat datang dan pergi yang tidak diakui atau dihargai.Beberapa praktik yang berbatasan dengan tidak etis."
Negatif,Bayaran yang buruk.Cobalah untuk pergi dengan staf yang membayar minimum.Pergantian staf yang sangat tinggi.
Positif,"Saya bekerja di AFH selama 4 tahun dan tidak bisa menyalahkan mereka.Semua orang sangat ramah, terutama CEO!
AFH sangat bagus untuk perkembangan karier dengan banyak peluang internal yang tersedia.Selama waktu saya, saya bekerja di 3 departemen yang berbeda dengan gaji yang meningkat di masing -masing.Saya benar -benar akan merekomendasikan perusahaan ini untuk bekerja."
Positif,Tempat yang bagus untuk bekerja dengan majikan yang sangat peduli dan hebat
Positif,"Komunitas yang sangat bagus, banyak manfaat bagi karyawan."
Negatif,"Orang -orang yang berbakat dan ramah dikelola dengan sangat buruk.

Manajemen mementingkan diri sendiri dan terlihat pendek.Sebagian besar tertarik untuk melindungi pekerjaan mereka sendiri.

Ketika banyak staf dibayar dengan upah minimum memiliki MD muncul di Rolls Royce tidak membantu"
Positif,CEO top dengan visi dan keinginan untuk mewujudkan sesuatu ..
Positif,Sikap yang sangat profesional dan banyak kesempatan bagi orang yang ambisius untuk unggul.
Negatif,"Saya benar -benar percaya AFH memiliki penawaran yang baik untuk klien dan mencoba untuk menaruh minat terbaik mereka di jantung keputusan bisnis namun dengan melakukan itu mereka benar -benar lupa tentang staf yang merupakan orang -orang yang memberikan layanan back office kepada klien.Jika staf Anda senang, merasa dirawat dengan baik, didengarkan dan dibayar cukup untuk apa yang mereka lakukan maka mereka akan menghormati perusahaan dan ingin memberikan layanan dengan kemampuan terbaik mereka.Jika Anda tidak melakukan hal -hal ini, yang sayangnya terjadi di AFH, kebalikannya benar.Mereka terlalu fokus pada 'tenaga kerja murah' dan menyimpan suasana 'kami dan mereka' antara manajemen senior dan staf.Saya benar -benar percaya CEO ingin melakukan yang benar oleh staf tetapi dia dikelilingi oleh orang -orang yang melindungi dia dari apa yang sebenarnya terjadi di lantai kantor.Mereka tidak menjaga milik mereka sendiri, orang -orang yang telah setia kepada perusahaan selama bertahun -tahun, selain mereka yang telah mencapai kursi di meja dewan.Ketika datang ke promosi, mereka lebih suka merekrut secara eksternal daripada mereka yang memiliki pengalaman yang telah bekerja melalui jajaran yang seringkali menjadi penyebab frustrasi bagi staf yang terus dijanjikan promosi mereka berikutnya sudah dekat.SDM berantakan dan Anda tidak ingin memberi tahu mereka sesuatu yang rahasia dari jarak jauh jika tidak ada gosip dalam waktu singkat.Mereka tentu tidak ingin orang yang akan menantang urutan hal atau menyarankan cara berpikir baru.Sangat memalukan karena saya pikir perusahaan memiliki banyak potensi tetapi sayangnya, meskipun mengalahkan Anda tentang menjadi 'majikan pilihan', saat ini mereka sama sekali tidak.Perusahaan ini berkembang pesat tetapi kecuali mereka melakukan sesuatu segera tentang banyaknya staf yang tidak bahagia (saya berinteraksi dengan semua departemen dalam bisnis dan hampir setiap orang merasakan hal yang sama), seluruh sistem pendukung kantor belakang akan runtuh dan mereka menang 'T staf jangka panjang, berpengetahuan luas atau berpengalaman untuk menahan bisnis."
Positif,"Tempat yang bagus untuk memiliki karier.Saya bergabung baru dari universitas hampir 7 tahun yang lalu.Perusahaan telah dalam perjalanan pertumbuhan yang luar biasa, tentu saja sejak saat itu menjadi bagian dari privilidge.Di bawah ini adalah daftar manfaat bagi saya secara pribadi, dan tidak lengkap.

-Cope untuk perkembangan karir kepada mereka yang menunjukkan kelaparan dan keterampilan yang dibutuhkan.Harus dicatat bahwa Anda harus realistis dengan ambisi Anda dan karier adalah karier dan bukan proses semalam.AFH menghargai kesetiaan, dan jika Anda mendemonstrasikan kemampuan dan atribut yang tepat untuk posisi yang lebih senior, dikombinasikan dengan menjadi anggota tim yang berpengalaman dan mendapatkan ujian apa pun (jika diperlukan), Anda akan menemukan diri Anda memanjat skala perkembangan karier dan mengalami manfaat yang datang yang datangdengan tanggung jawab yang meningkat itu. 
-Full Dukungan Keuangan untuk ujian yang relevan yang disetujui oleh manajer lini Anda.Saya telah memiliki banyak ujian dan materi yang dibayar selama bertahun -tahun yang telah banyak mendukung saya dan selalu dihargai sepenuhnya. 
-M. Staf.Orang -orang yang luar biasa dan ramah di seluruh bisnis dan banyak teman seumur hidup yang telah saya temui melalui bekerja di sana baik pekerja masa lalu maupun sekarang.Ini membuat hari kerja jauh lebih baik ketika Anda memiliki orang -orang baik di sekitar Anda.
-Kompet di samping gaji termasuk pensiun, jumlah perawatan kesehatan yang wajar (terutama gigi dan optik) dan bonus tahunan.Ada pemanis di masa lalu mis.Bagikan opsi yang untuk perusahaan yang sedang tumbuh bisa sangat menguntungkan.Ada juga skema bonus loyalitas berjenjang yang sangat menarik yang jika di dalamnya untuk jangka panjang bisa sangat ramah. 
-KEPAT Sosial sangat bagus.Pesta Natal, bola musim panas, BBQ musim panas, dan pertandingan sepak bola amal tahunan.
-AFH mensponsori sebuah amal setiap tahun dan ada banyak acara menarik sepanjang tahun yang diundang staf untuk bergabung dari Snowdon yang menaklukkan, berlari di Birmingham 10k, skydives, kuis pub atau hanya kue yang bagus.
-Pola kerja terkompresi ditawarkan kepada pekerja tertentu (tidak semua).Manfaat yang saya konsumsi dan itu adalah sesuatu yang tidak mudah digunakan.Minggu kerja yang dikompresi menjadi 4 hari yang memungkinkan untuk tingkat pembayaran yang sama, tetapi 3 hari libur dalam minggu kerja, bukan 2. Sesuatu yang saya beri nilai tinggi secara pribadi."
Positif,Perusahaan ini sangat besar sehingga ada ruang untuk perkembangan karier.Ada juga manfaat besar dan waktu fleksibel.
Negatif,Banyak staf yang sangat pendendam dan ingin merusak karier orang lain demi mereka sendiri.Entah itu cara mereka atau tidak
Negatif,"Lingkungan sangat bias karena jika Anda adalah salah satu yang terpilih maka waktu Anda di sana bisa bermanfaat dan menyenangkan, namun, jika Anda profesional, berprestasi dan memiliki pengalaman bekerja di estsblishments lainnya maka Anda dipandang sebagai 'bukan AFHjalan'.
Manajemen senior meninggalkan banyak hal yang diinginkan.Kebanyakan orang di sana akan menghalangi karier Anda sebagai lawan untuk memajukannya karena merupakan lingkungan pendendam dan jahat.Gaji yang diperoleh Dewan tidak diinginkan karena 2 orang dapat melakukan peran yang sama dan pihak yang disukai akan dibayar jauh lebih banyak karena mereka adalah 'orang ya' dan kemungkinan besar akan menantang hasil yang positif dan produktif.Breed penghinaan dengan gosip tanpa akhir. 
Etos investasi juga meninggalkan banyak hal yang diinginkan dan banyak perusahaan investasi lain di Midlands memiliki pengembalian yang lebih baik dibandingkan dan karenanya merupakan bisnis yang lebih baik dalam praktiknya.
Posisi yang saya lakukan memungkinkan saya untuk mendapatkan pengetahuan tentang bisnis dan karyawannya dari tingkat akses yang lebih tinggi dan saya memenuhi syarat untuk mengatakan bahwa komentar saya berpengetahuan dan akurat.
Hindari AFH jika Anda ingin maju secara adil dan dihargai atas kerja keras Anda."
Negatif,Kurangnya dukungan untuk berkembang.Tim SDM berantakan.
Negatif,"Saya bekerja di Divisi Assure AFH mereka, memberi Anda petunjuk yang tidak mungkin bekerja.

Pelatihan cukup banyak tidak ada.Manajer meja tidak dapat membantu karena mereka diharapkan untuk menghasilkan penjualan dan perjuangan mereka sendiri untuk membantu tim mereka meningkatkan pendapatan meja secara keseluruhan.

Dingin memanggil orang yang sama berulang kali bahkan ketika diberitahu untuk tidak membalas.Saya menghabiskan minggu lalu menelepon orang di atas 70 jika mereka menginginkan asuransi jiwa, atau meninjau kebijakan lama.Batalkan kebijakan Anda saat ini dan kemudian keluarkan satu dengan lebih sedikit perlindungan untuk lebih banyak uang."
Positif,"Orang yang ramah, hampir seperti keluarga!"
Positif,"Saya bergabung dengan AFH pada bulan Desember 2017 dan telah menemukan mereka sebagai perusahaan yang benar -benar hebat untuk bekerja.Pada minggu pertama pertemuan diatur untuk saya dengan semua manajer senior dari berbagai departemen sehingga saya bisa memahami berbagai bagian bisnis.Ada suasana positif yang baik di AFH dan Anda secara aktif didorong untuk berbicara secara terbuka tentang masalah apa pun termasuk dengan CEO.Paket manfaatnya bagus tetapi sama pentingnya, Anda dibuat merasa dihargai dan diakui untuk pekerjaan yang dilakukan dengan baik.Saya bekerja dengan banyak tim di AFH dan menemukan mereka membantu dan murah hati dengan waktu mereka.Kerja bagus / keseimbangan hidup juga sangat banyak bukti."
Positif,"Saya melompat dari dunia bankassuransi ke dunia IFA dan sangat berhati -hati dalam memilih AFH ketika saya mewawancarai banyak perusahaan sebelum memilih yang ini. 
Semua yang mereka katakan kepada saya tentang diri mereka benar, seperti yang saya ketahui kemudian, dan mereka menaruh uang mereka di mana mulut mereka adalah ketika mereka mengatakan mereka mengutamakan klien, yang sangat menyegarkan setelah bekerja untuk bank yang mengatakan satu hal dan melakukan yang lain.

Semua orang dengan senang hati membantu dan mendukung Anda di mana mereka bisa, dan saya dibiarkan melakukan hal saya sendiri dengan sukses dan membangun bisnis saya sendiri tanpa manajemen mikro, yang bagi saya sangat penting! 

AFH menjaga staf mereka dengan baik, dan senang bekerja untuk perusahaan yang menurut Anda bekerja dengan cara yang benar untuk staf mereka, diri mereka sendiri dan klien mereka."
Positif,"Staf yang ramah, individu yang berpengetahuan, pelatihan dan dukungan yang baik"
Positif,"AFH benar -benar bangga menjaga kliennya dan ini terbukti dalam cara mendukung staf untuk maju dengan kualifikasi.Individu yang bekerja untuk AFH mendapatkan kesempatan untuk berkembang dan maju jika mereka melakukan pekerjaan. 
Kantor yang indah dan staf yang sangat ramah."
Negatif,"Sayangnya, terlalu banyak untuk dicantumkan.IMO dan berdasarkan pengalaman saya di sana:
Kecuali ini adalah pekerjaan pertama Anda di mana Anda mendapatkan pengalaman di tempat kerja, jangan melamar. 
Praktik yang sangat tidak etis
Tim kepemimpinan senior sebagian besar dipromosikan secara internal sehingga sangat sedikit untuk diinginkan dalam hal bagaimana benar -benar menjalankan bisnis.
Budaya beracun
SLT ingin berbicara tentang inovasi atau perubahan tetapi tidak tahu bagaimana mengimplementasikan atau bahkan mungkin ingin
Tim SDM juga tidak kompeten dan saya pribadi mengetahui banyak praktik tidak etis saat merekrut."
Negatif,Satu departemen tertentu mengecewakan seluruh perusahaan.SDM benar -benar tidak berguna.Keluhan keluhan dan keluar wawancara benar -benar diabaikan.Jika Anda menghargai harga diri Anda maka saya akan mencari di tempat lain.
Positif,"Staf yang bisa didekati
Klien fokus
Manfaat staf meningkat
Cara yang bagus untuk mendapatkan kaki Anda di pintu
Kemajuan dan gerakan didorong"
Positif,"Orang yang ramah, upaya tulus untuk melibatkan dan meningkatkan staf, peluang perkembangan yang sangat baik jika Anda siap untuk bekerja untuk itu"
Negatif,"Terlalu banyak 'proyek kesombongan' dan agenda yang mempromosikan diri yang dijalankan oleh berbagai individu dan departemen, tidak ada yang membangun kebanggaan pada karyawan untuk bekerja di sini atau benar -benar meningkatkan hubungan dengan pelanggan."
Negatif,"Supervisor membuat saya sangat gelisah sejak awal tidak pernah memperkenalkan saya kepada anggota tim lainnya, bukan orang orang dan tidak dapat didekati.tidak mendukung dan mengharapkan Anda untuk mengetahui persis apa yang Anda lakukan bahkan jika Anda belum pernah berada di sektor itu sebelumnya."
Negatif,"Gaji yang buruk, kesenjangan besar untuk gaji antara manajemen senior vs mereka yang mendukung mereka, manajer yang menggertak namun Anda adalah orang yang diusir, kurangnya fleksibilitas"
Negatif,"Gaji jauh lebih rendah daripada pesaing pasar dan tidak ada tangga gaji standar, mereka hanya membayar setiap orang apa pun yang bisa mereka dapatkan.
Sebagian besar manajemen mengejutkan dan tidak tahu apa -apa tentang bagaimana perusahaan/proses bekerja - atau bagaimana mengelola tim, gadis -gadis muda hanya memilih promosi untuk gaji yang lebih tinggi tetapi tidak mampu melakukan peran manajemen apa pun
Tidak ada kemajuan sama sekali"
Positif,"Lingkungan yang baik, cinta orang, tidak terlalu menegangkan"
Negatif,"-Peria -gaji
-Middle Management suka mengelola mikro 
-Setensi retensi di tim admin investasi sangat rendah"
Negatif,Ini bukan lingkungan kerja yang baik dan Anda tidak dijaga!
Positif,Rekan kerja yang ramah.Siap membantu kapan saja.Terasa seperti keluarga.
Positif,"* Dukungan bagus jika Anda membutuhkannya
* Pendekatan kerja yang fleksibel
* Tidak ada pengelola mikro (yang besar untuk saya!)
* Tim yang ramah dan membantu
* Potensi pendapatan yang fantastis"
Negatif,"Manajemen yang mengerikan
Manajemen Mikro
Hanya peduli tentang angka dan uang bukan kebahagiaan staf mereka
Senang bertentangan dengan pedoman pemerintah dan mengambil risiko kesehatan dan keselamatan anggota staf untuk secara prematur membuat staf pergi ke kantor meskipun orang-orang senang dengan itu- ketika saya memberi tahu mereka bahwa saya tidak senang dengan pemberitahuan 6 hari mereka mengakhiri kontrak saya dengan segeraefek karena alasan ini

Mereka sama sekali tidak peduli dengan staf mereka dan jika Anda meningkatkan kekhawatiran atau menyuarakan pendapat Anda sendiri, mereka akan menyingkirkan Anda tanpa alasan yang sah dan tidak akan mengikuti prosedur apa pun."
Negatif,"-Bonus yang tidak dapat dipadati secara tidak adil ditetapkan oleh manajer
-Bullying
-Mikran manajemen
-Senam jam
-Tidak ada simpati kepada orang yang bepergian atau memiliki anak
-Manager sangat kasar dan merendahkan
-Pergantian staf tinggi
-Mestreatment staf
-Janji palsu
-Senya tentang peran pekerjaan itu adalah panggilan dingin
-Jika Anda menantang manajemen Anda dipecat tanpa peringatan atau prosedur yang tepat
-Apakah mengikuti pedoman COVID
-Pangganan -moor dari SDM dan manajer secara keseluruhan
-Menakan beban kerja tetapi kemudian memiliki pipi untuk menanyakan apa yang Anda lakukan"
Negatif,"Bullyline Bullyline, Nepotisme, terlalu banyak bekerja - Steer Clear"
Negatif,"Masalah rutin dengan berbagai sistem komputer, kadang -kadang menciptakan badai yang sempurna di mana di samping tidak ada pekerjaan yang dapat dicapai.
Tangga perkembangan yang hampir tidak ada.
Pengalaman dan kerja keras umumnya tetap tidak diakui oleh manajemen.Sama halnya, kualifikasi industri tampaknya tidak diperhitungkan.
Gaji rendah dibandingkan dengan posisi serupa di perusahaan lain.
Kurangnya komunikasi antara manajemen dan staf."
Positif,"Staf inti, manajer dan di atas, telah ada di sana selama 10 tahun atau lebih.Ini berarti ada lingkungan yang stabil untuk bekerja. Beberapa investasi baru -baru ini telah menyebabkan lebih banyak peluang di TI dan operasi."
Negatif,"Tidak ada perkembangan
Kurangnya kepemimpinan
Manajemen tingkat rendah dan menengah yang buruk
Peluang Kemajuan Karir Hanya untuk Karyawan Favorit"
Positif,Kolega yang ramah.Itu adalah lingkungan ramah yang ramah untuk bekerja. Semua orang benar -benar ingin saling membantu.
Negatif,"Hanya akan maju jika Anda tahu orang yang tepat.Departemen SDM tidak layak menjadi ""pergi ke"" untuk anggota staf karena mereka tidak dipercaya dan curang/bias promosi.Tidak ada fleksibilitas dengan jam.Pekerjakan terlalu banyak ""anak -anak"" sehingga mereka dapat membayar upah murah - dan karenanya tidak ada yang diperlakukan seperti orang dewasa atau tepercaya.Jika Anda tidak disukai oleh orang yang tepat, Anda diintimidasi."
Positif,"Perusahaan yang membayar hari sakit, kolega ramah, program pelatihan yang baik dan dan ketersediaan dukungan studi profesional bagi mereka yang tertarik"
Positif,"Beberapa fasilitas bagus mis. Beli liburan, tunjangan liburan meningkat per tahun, bonus dua tahunan kecil.Ada juga bersosialisasi dengan kolega tim juga."
Negatif,"Perusahaan ini menyatakan bahwa prinsip -prinsip inti mereka bersifat pribadi, manusia, etis dan memiliki kepentingan terbaik staf.Ini sama sekali tidak benar.Perusahaan ini memperlakukan staf seperti kotoran di sepatu mereka dan tidak peduli tentang mereka.Ini semua tentang keputusan perusahaan dengan mengabaikan perasaan staf.Departemen SDM ... Lelucon.Mereka bertindak seolah -olah mereka dapat didekati tetapi sebenarnya mereka bekerja untuk perusahaan, bukan untuk staf.Perbedaan besar -besaran antara manajemen senior dan semua orang ... ambillah sesuka Anda.Sekelompok orang munafik.Mereka memberi Anda insentif yang menurut Anda luar biasa, tetapi pada kenyataannya adalah insentif terburuk dibandingkan dengan perusahaan lain di industri yang sama."
Negatif,"Dari atas ke bawah.Jika Anda seorang wanita, lupakan saja, kecuali jika Anda menikah dengan orang lain di atas.(Nepotisme marak di sini).Manajer tidak tertarik pada kesejahteraan staf dan telah membiarkan pengganggu berkembang dalam posisi mereka yang tidak tertandingi, yang mengarah ke budaya beracun dari persaingan yang buruk dan persaingan interteam yang tidak melakukan apa pun untuk hasil pelanggan.Ingin transparansi dalam gaji, jam fleksibel, manajemen suportif, bos yang benar -benar mengikuti prinsip yang diterbitkan perusahaan?Lupakan.Jika Anda ingin muncul, dibayar, pulang dan pergi ke mana -mana, ini adalah tempat untuk bekerja.Ini adalah perusahaan pensiun dengan skema pensiun yang mengerikan.Ini memberi tahu Anda semua yang benar -benar perlu Anda ketahui."
Negatif,"Masalah manajemen, gaji lebih rendah dari rata -rata dan pergantian karyawan yang tinggi."
Negatif,"Manajer hanya memberi teman pekerjaan, sama sekali tidak ada prospek dan mereka akan menyesal membiarkan semua staf yang berpengalaman pergi karena mereka melakukannya"
Negatif,"Manajemen terlepas 
Membosankan
Ambisi disukai
Perkembangan tidak mungkin"
Negatif,Gaji yang buruk.Dukungan untuk kemajuan tidak ada.Ada budaya 'wajah pas' yang besar.Sistem operasi yang buruk.Pelatihan kurang.
Positif,"Tempat yang sangat baik untuk bekerja, segera memindahkan kantor utama yang berbasis di Manchester ke gedung baru, seluruh langkah setelah mempertimbangkan konsultasi staf di setiap tingkatan, budaya perusahaan fantastis dan staf ramah dan membantu.Sukacita untuk bekerja dan peluang cemerlang untuk datang."
Negatif,Manajemen yang sangat buruk dan tidak memiliki pemahaman dasar tentang keragaman.
Positif,Suasana yang peduli.Rekan kerja yang ramah.Dalam pelatihan & perkembangan rumah.Dukungan belajar.Kerja fleksibel.
Positif,Kantor yang sangat ramah.Struktur manajemen yang baik dan banyak peluang untuk perkembangan.
Positif,"Beragam tenaga kerja, dari lulusan hingga anggota staf yang lebih berpengalaman, semuanya ramah.Aspek sosial yang baik, mudah terlibat.Dukungan studi sangat baik saat digunakan.Perusahaan seringkali fleksibel untuk kebutuhan dan manajemen individu turun ke bumi dan mudah didapat."
Positif,"Perekrutan di daerah kami sangat bagus, mereka mempekerjakan orang itu bukan keterampilan, jadi ada tim yang hebat dan orang -orang bersatu dengan baik.Sangat sedikit politik dan negatif, semua orang tampaknya menarik ke arah yang sama yang tidak berlaku untuk banyak perusahaan yang pernah saya kerjakan.Kemajuan karier yang sangat baik bagi mereka yang bersedia bekerja keras dan melakukan upaya, kerja bagus dan ""di atas dan di luar"" diakui dan dihargai"
Positif,Budaya perusahaan yang hebat dengan banyak peluang pelatihan.Banyak dukungan dari kolega dan manajemen.Banyak acara dan peluang sukarela untuk terlibat.
Positif,"Peluang untuk maju, dukungan menuju kualifikasi profesional, acara sosial, lingkungan kerja yang hebat, moral tim yang hebat"
Positif,Organisasi yang bergerak cepat dan menarik dengan budaya dan kolega yang hebat.
Positif,"Kantor baru
Kemajuan Karir - Semua pekerjaan terbuka secara internal, skema magang
Perusahaan berkinerja sangat baik 
Gym gratis dan bayar minuman siang hari"
Positif,"Staf yang fantastis
Perusahaan yang inovatif dan berpikiran maju
Tumbuh secara organik dan berinvestasi pada rakyatnya
Nilai -nilai yang kuat dan prinsip -prinsip panduan
Fokus pada kesejahteraan
Fasilitas dan lingkungan yang bagus
Investasi dalam pembelajaran dan pengembangan
Kejelasan arah dan tujuan perusahaan
Aksesibilitas para pemimpin senior dalam bisnis ini
Kegiatan sosial yang baik
Mendukung komunitas lokal"
Positif,"Staf yang sangat ramah dan budaya tim yang hebat
Prospek karier yang sangat baik 
Banyak penekanan pada pembelajaran & pengembangan 
Program induksi yang brilian 
Fasilitas- Di sebelah trem berhenti, gym, minuman bayar, kafe, kantor pos, agen koran"
Positif,"Tim yang hebat, banyak dukungan dan pelatihan.Fasilitas yang sangat baik

Semua staf diberikan pelatihan pengantar Level One tentang masing -masing bidang bisnis yang berbeda, dari sini terserah kepada Anda apakah akan mengambil ini lebih jauh tetapi bahkan sebagai siswa penempatan selama setahun saya didorong untuk mengambil ini lebih jauh untuk pengembangan pribadi saya.Sebagai mahasiswa penempatan saya tidak menawarkan untuk menyelesaikan ujian profesional saya karena itu adalah kontrak jangka tetap tetapi mereka menawarkannya untuk karyawan jangka panjang.

Saya memiliki tim yang hebat di sekitar saya dan mentor yang sangat baik.Saya menemukan pemimpin tim (Martin) dan manajer (Lauren) penuh dengan pengetahuan dan selalu ada untuk mendorong saya untuk berjuang menjadi lebih baik.Tim itu sendiri benar -benar mudah didekati dan semua orang senang membantu di mana mereka bisa.

Saya memiliki cukup banyak interaksi dengan departemen lain dan sangat menyenangkan melihat bahwa ada getaran keluarga besar di seluruh bisnis.

Pekerjaan itu sendiri pasti telah membantu saya dengan kesadaran bisnis saya dan keterampilan yang saya pelajari berarti bahwa saya telah dapat mengamankan skema lulusan dengan salah satu bank investasi braket tonjolan."
Negatif,"Mereka tidak memberi orang kesempatan yang adil, sistem dasar Tes SDM dari bakat tidak berhasil ketika datang untuk mempekerjakan orang baru atau mempromosikan mereka di tingkat junior"
Positif,Suasana yang luar biasa dan Anda dapat berbicara dengan orang -orang dari semua tingkatan
Positif,"Semuanya - tim yang hebat, beban kerja yang adil, banyak dukungan dan budaya sosial / amal yang hebat."
Positif,"Banyak peluang bagi orang yang tepat untuk maju.

Tidak takut menghabiskan uang saat dibutuhkan.

Tidak terlalu macet oleh manajemen keterlibatan berlebihan."
