analisis	sentiment_label	sentiment_score
tempat atur ruang meja meja hidup prediksi	Negatif	-1
dikit jahat kapai tempat were dengar tantang bangga hasil selesai tipes	Negatif	-1
dunia laki sikap misoginis sikap jahat rasa rebut tempat kuota ambil contoh nyata	Negatif	-1
tempat sekal personal rapat urus diam	Negatif	-1
ramai punca harga kawan tempat bosan kurang bayar benda	Negatif	-1
alam pribadi trauma tempat sumber trauma konflik batin giat were pasti	Netral	0
kasihan arti jahat profesional intervensi privasi tempat lihat	Netral	0
curhat rasa tindas tempat angkat leher tempat	Negatif	-1
tempat negatif rasa marah malas pergi teruk kaki bawang kipas naik gaji kaki bawang ubah perangai	Negatif	-1
tempat toilet musola jauh debu parah libur sakit tenggorok	Negatif	-1
sayang putus ambil sesal bahagia drama tempat waras	Negatif	-1
curhat istri tempat perempuan permanen capek mental buta warna sedih zona nyaman gaji	Negatif	-1
lembur kucil tempat libur gaji sesuai tekan hasil ambil laku jahat rekan	Positif	1
kemarin tempat sadar butuh proses	Negatif	-1
bahas kena salah fatal sayang tempat kasih jamin hadap selamat sehat fisik mental	Negatif	-1
salah atur harga manusia pasti jahat pasti senioritas	Positif	1
inti jahat diam	Negatif	-1
budaya karyawan bakar daging karyawan korea rasa malu karyawan kisah buah komunitas tempat minggu acara	Positif	1
janji asik nyata jahat parah	Negatif	-1
masalah segi korporat jahat gila hormat tempat korban politik kantor beda artis budak korporat	Negatif	-1
tempat tempat kapok mulut perang dingin ketua konsisten stres pegawai rajin tekan malas abai sumpah tahan	Negatif	-1
kantor karyawan muka kanan jahat parah betah level sakit psikis korea ogah	Negatif	-1
kultur tempat manipulasi menang mohon kasih bela boro direktur damai	Negatif	-1
tempat jahat penuh tekan batin	Negatif	-1
tempat omong omong cerewet nyaman tempat gara berisik	Negatif	-1
habis rasai kuat pilih jahat kadang sholat toilet waktu	Positif	1
sistem budaya jahat habis kasar laku tega lihat	Negatif	-1
arti jahat staff pakai jalur pantas rekan lihat situ bokap bokap tegur suka	Netral	0
wajar tempat waras raih hasil maksimal model human cabut	Positif	1
manajemen kantor tempat super jahat tempat nilai cukup valid	Negatif	-1
temu ganti rasa sulit temu ganti tempat mantan hati rasa sepi hampa rindu hubung sehat	Negatif	-1
tempat ruang tempat temu tembok butuh sedia butuh tali temali waktu pergi	Negatif	-1
rasa nyaman cinta rasa nyaman hubung hubung bangun rasa aman stabilitas terkadang penuh konflik sulit	Positif	1
barang tempat lokasi potensial untung mata simak	Negatif	-1
terkadang syukur tempat pijak ragu karyawan	Positif	1
tantang tempat lelah jenuh tenang mudah hadap pola positif	Netral	0
ajak omong bantu lepas nyaman jahat tahan susah	Negatif	-1
semangat menang mushola kantor garagara teman hati niat nafkah niat jahat balas serah engkau	Negatif	-1
fase galau nyaman magang tempat nyaman	Positif	1
kontrak tempat intern linear jurus jurnalistik suka lulus punch lulus	Positif	1
jalan nyata jahat tobat maksiat imbas hantam sisi ekonomi cinta hilang	Negatif	-1
nyaman kuat salah tempat jauh laju aneh rasa jalan kenal ubah jalur sempit batu hidup rumah cahaya	Negatif	-1
peristiwa jurus seram tempat asing tempat kunjung simak alam salah teman dampar losmen hantu jalan lintas sumatera	Negatif	-1
tempat tempat nyaman kadang tempat sungguh seram salah teman kisah seram tempat bandung simak	Negatif	-1
sejarah kelam senyap gambar tari garis seram sudut lembang saji horor tempat latih teman alam seram simak	Negatif	-1
kadang paksa tempat tempat susah proses adaptasi terpa seram sisi gelap teman alam tempat rumah simak	Negatif	-1
terkadang tempat tempat milik sejarah kelam seram keluarga alami rumah bandung simak	Negatif	-1
angker tempat kadang paksa hadap seram dimensi sekal hadir ngeri malam teman seram pabrik tempat peristiwa simak	Negatif	-1
gagal tempat favorit parfum lagu	Negatif	-1
tempat putus anggap tempat lelah temu percaya peran utama hidup senang tahan figuran	Netral	0
tempat nyaman rasa bebas rasa tempat cabut tempat percaya pasti ketemu tempat indah berani pergi	Negatif	-1
arti tempat adaptasi rekan dinamika beda libur malas mati	Positif	1
tempat tempat lancar berisik pasti makan enak seru nyata	Negatif	-1
ungsi iklim rumah tahap kecil besar tempat rumah pilih	Negatif	-1
ubah kontribusi tempat alami ubah besar hidup rasa asing rasa hubung pilih	Negatif	-1
rasa masalah hilang pergi gampang tempat dekat lantai jalan kaki jauh naik sepeda jauh naik kereta	Negatif	-1
teman suka tempat nikah habis nikah salah pisah iring waktu laki teman	Negatif	-1
masalah suka tempat sayang tempat posisi permanen tempat sesal susah ikhlas	Negatif	-1
rasa ipar mudik rumah rumah asing tatanan ubah simpel tempat tempat rasa ikhlas barang	Negatif	-1
tempat tempat makan makan umur hidup pilih bebas pilih tempat	Negatif	-1
kondisi menang kabur takut tuntut tempat susah ijin sakit ijin potong gaji	Negatif	-1
percaya tempat ideal kurang pasang pilih kurang toleransi bagus	Negatif	-1
halo teman curhat kenan ganggu tempat maaf	Negatif	-1
bahaya tempat rasa penat gila indak rawat ganggu mental langkah ambil laku tempat	Negatif	-1
tanda tempat verbal normal manager amik janji mungkir ambil kredit ramai tipu staff senyum pilih kasih	Negatif	-1
pakai benda jahat jahat paksa hadap pakai	Negatif	-1
mending tahan jahat bentar lihat kasihan jahat pasti capek fisik mental	Netral	0
lang izin tani lelah jalan dunia tempat bahagia adil	Negatif	-1
sakit sakit pandang mata sifat rasa takjub hadap pandang dengki cinta jahat salih	Negatif	-1
nyata jahat beliau cocok fokus studi kontrak wajar hitung	Positif	1
pilih jahat gaji dekat keluarga jahat gaji sepi teman tempat	Negatif	-1
sifat dasar manusia tempat tempat kandung pesan sembunyi bahagia	Negatif	-1
pilih cukup hubung hubung terang tempat imbuh	Negatif	-1
mudah tempat situ manfaat	Netral	0
etik rumus karyawan tempat lahir tanggal	Netral	0
tempat peran jaga sehat mental	Negatif	-1
stres jahat	Negatif	-1
rasa tempat cocok kurang nyaman jahat beda visi mudah cicil kudu lunas butuh anggota keluarga semangat juang rupiah kuat	Negatif	-1
tempat rasa takut ikan waktu angkat suruh	Negatif	-1
sayang jahat sedih	Negatif	-1
hear pasti rasa sedih wajar kuat tutup tempat respon semangat dunia	Negatif	-1
perihal teman kantor jahat nyata gampang ketemu sindir stres stres	Negatif	-1
habis gaji kecil ribu tempat rasa rasa dosa rejeki wajar	Negatif	-1
karyawan kurang pola maaf dekat rumah kapai daftar jauh rumah kemarin tempat gaji	Positif	1
keluh susah kebel gaji ajar tempat rasa cukup rasa besar tempat makan hati enak	Negatif	-1
rasa situasi lempar departemen garagara jelek cantik goblok bagus performa bagus tempat jauh bagus semangat	Negatif	-1
nekat jahat tahan stres	Negatif	-1
karyawan pintar erti pasti undur tempat curiga rugi rekrut	Netral	0
arti tahan jahat faktor gaji tekan keluarga tempat janji	Negatif	-1
wajar peluang kondisi tempat kurang tingkat masalah	Negatif	-1
muak tempat rasa tingkat parah hasil masalah susah	Negatif	-1
tempat jahat uang lembur kena potong tanggal merah kena potong tempat waktu	Negatif	-1
muak pamit surat kabur jahat kaya asap desember	Negatif	-1
nyaman tempat teman gaji takut tempat nyaman trauma bingung	Netral	0
jahat dilema sehat mental ganggu opsi harap ubah butuh waktu timbang	Negatif	-1
long sesuai selang kantor nyata dekat tempat tunggu waktu kantor	Netral	0
kadang situasi hindar jalan lancar tempat cocok semangat rupa	Positif	1
kuat tekan jahat	Negatif	-1
nyaman rasa sesuai ekspektasi cocok waktu evaluasi tempat rasa salah semangat	Negatif	-1
bong tahan ketemu korban sehat sehat anabul waras hubung personal tempat kena efek	Negatif	-1
kondusif rasa maju bingung selesai selamat alami demotivasi tempat	Negatif	-1
baca ngeri nyata tempat kantor tempat alam uang teman bonus jahat	Negatif	-1
nyata jahat bayang parah mbak nyata	Negatif	-1
september kemarin jahat kantor kantor rasa senang menang	Negatif	-1
tempat nama rohmat jahat	Negatif	-1
pergi tempat naik gaji karut ungkit jahat	Negatif	-1
jumpa rasa jahat	Negatif	-1
tempat jahat penat mental tanda jahat	Negatif	-1
jahat susah komunikasi gosip drama teruk takut tukar kurang percaya	Negatif	-1
jahat kantor	Negatif	-1
pasti tempat benda peras peras asyik rasa stres letih benda kecil rasa marah	Negatif	-1
tempat jahat pelangi sembuh lamar jauh tolak pasang jahat jahat	Negatif	-1
jaman wawancara butuh duit ajar tumbuh titik tempat tumbuh	Negatif	-1
jahat akal rela begadang libur saing rekan kasihan efektif sesuai lihat malas	Positif	1
mulut perangai jahat tempat henti jawat galas tuju	Negatif	-1
stres dekat tempat galas perangai setan dekat tempat henti rana stres jahat situ	Negatif	-1
mental rusak jahat percuma	Negatif	-1
pegang alias tempat kondisi kecamuk emosi stabil kondisi stabil pengaruh proses langsung	Positif	1
pilih kantor suportif sedikit super jahat laku kondisi	Negatif	-1
rasa cocok salah eksternal jahat sehat industri cocok	Negatif	-1
video jahat balas video kolega beliau jahat kasihan mbak pepatah pandu	Negatif	-1
takut jahat inkompeten bedak julid cabut tempat sampah inkompeten tukang julid	Negatif	-1
tanda tempat budaya jahat kelompok start kelompok mesti gosip jalan pokok goyang angin	Negatif	-1
stres dekat tempat rana tugas galas rana perangai setan dekat tempat henti stres keliling	Negatif	-1
gaji jahat tempat jauh	Negatif	-1
normal tempat bayang interaksi karyawan hitung otomatis cocok komunikasi karyawan cocok tempat milik	Positif	1
harap beda jahat long jahat personal	Negatif	-1
stres dekat tempat rana tugas galas rana perangai setan dekat tempat henti stres keliling	Negatif	-1
heran jahat rasa jahat bawa aura beres kantor tegur sulit syukur kondisi kantor sadar	Negatif	-1
jahat teman cocok cocok musuh politik gerombol beda keroyok suara mayoritas arti suara	Negatif	-1
jahat minggu tanam anggur	Negatif	-1
betah tempat rasa surat	Negatif	-1
benda tempat	Negatif	-1
benda tempat	Negatif	-1
babi budak budak penat jenis tempat penat	Netral	0
niat jujur omong masalah tempat mending pakai hati sesak baca	Negatif	-1
tempat buka loker posisi butuh kemarin	Negatif	-1
tempat nyaman cocok gaji putus korea niat libur korona dasar menang	Positif	1
sesal dekat tempat mental	Negatif	-1
besok langsung tempat	Netral	0
capek pura pura bahagia tempat rasa	Negatif	-1
rencana curhat tempat posisi pasuk lamar posisi rival	Negatif	-1
jahat langkah percaya enak alam pribadi	Positif	1
contoh surat letak jawat minggu contoh bahasa melayu rezeki tempat	Negatif	-1
jahat waktu arah kurang visi jahat bungkus hasil	Negatif	-1
tempat jahat rubah darah daging pilih	Negatif	-1
sayang mental jahat over lembur bayar urus kantor agustus januari pasti tabung cukup	Netral	0
benci kantor marah akal mental tahan jahat sesal	Negatif	-1
diam pengaruh buku sisi bisnis tempat inti hindar intervensi jalan terjun	Netral	0
betah ganti tempat rasa kasih	Negatif	-1
contoh surat letak jawat minggu contoh bahasa melayu rezeki tempat	Negatif	-1
bagus jahat mudah cakap	Negatif	-1
kondisi dasar tempat gabung bawa sempurna sebal	Negatif	-1
kaget mantan senior salah gara jahat marah suka grup situ intern grafis	Negatif	-1
bujang tempat kena cuti staf utama kait bujang rasa budaya	Netral	0
tempat dendam pakai prestasi tempat prestasi dendam	Negatif	-1
tempat banjir mata pamit habis kontrak nyata kantor jamaah	Negatif	-1
harap ketemu tempat	Netral	0
alam tempat	Negatif	-1
lucu tempat pamit teman kantor betah tempat taruh muka	Netral	0
aduh capek tempat	Negatif	-1
indra pasti kena jahat rendah heran lambe	Negatif	-1
jahat mudah rasa susah	Negatif	-1
obat capek hati tempat	Negatif	-1
rasa	Negatif	-1
salah pilih duit nyaman ajar alam muda saran tempat tempat jahat	Negatif	-1
handel jumat berkah tempat pending berangkat	Negatif	-1
tempat tawar tempat	Negatif	-1
capek obat tidur obat kemarin jahat mental cepat	Negatif	-1
halo teman utama kandidat kasih konteks tempat	Netral	0
tempat	Negatif	-1
saudara tempat kemarin celaka trauma doang duit takut model	Negatif	-1
malas layan staff jahat sila sila angkat kaki undang pergi halang	Negatif	-1
patah hati sesak tempat rencana kasih kenang teman nama kebut jumat kasi	Negatif	-1
pilih kuat juang pergi pulang rumah tuju tempat	Negatif	-1
tempat cukup nekad baca	Negatif	-1
stres dekat tempat perangai dekat tempat jahat salah punca henti mental ganggu	Negatif	-1
surat mohon nyata ubah waktu ubah ubah tempat hantar majikan tunggu	Negatif	-1
barusan kandidat tempat rasa tantang jenuh rutinitas butuh tipe andil buah	Negatif	-1
hubungan rekan kerja suasana dukungan dukung kolaborasi tempat toxic jahat benci suka	Positif	1
gagal jatuh bangun ajar proses besar wujud jahat	Netral	0
tempat waktu curhat sajadah malam langit pokok	Negatif	-1
pura pura tempat capek ketawa karir diam doang renung naik ojol	Positif	1
paham masalah nasehat obsesi laku jahat fitnah trauma parah platform	Negatif	-1
dosa bunuh hewan bahaya lumayan bahaya bukti kuping waktu kuping tempat	Negatif	-1
