analisis	sentiment_label	sentiment_score
bangun pagi semangat pergi tepu rutin rasa gain mati situ gaji timpal	Negatif	-1
durasi tingkat gaji bidang	Positif	1
kemarin lulus sekolah henti gaji tempo ketemu	Positif	1
tempat enak bosan astaga indah bego salah gaji digit nyata bayar tanggung sanggup	Negatif	-1
masalah gaji lumrah	Negatif	-1
naik gaji cepat syarat layak negatif	Positif	1
kantor waktu dekat gaji naik cepat strategi jangka buah utas perspektif hadap	Positif	1
jabodetabek wajar alias kutu loncat gaji naik daerah lapang rendah	Positif	1
lompat lompat relatif stabil cetak badai reda asik goreng gaji kena	Netral	0
salah suami gaji besar sakit bpjs doang profit fasilitas	Negatif	-1
besar kurang beban operasional karyawan sesuai gaji beban operasional berat karyawan gaji ganti karyawan cukup gaji	Netral	0
gaji wajar takut anggap loyal anggap gaji	Netral	0
tips salah jenis pilih kasih salah rasa bosan salah gaji kena potong lepas	Negatif	-1
utama semester stop guru honorer hidup gaji kadar makan enak uang	Positif	1
erti bingung pakai keluarga niat susah langsung gaji cair	Negatif	-1
gantung kantor beda mutasi beda beda pasti ubah gaji ubah	Negatif	-1
lulus kuliah cantum gaji daerah jahat	Positif	1
jenjang karir gaji naik gaji besar	Positif	1
gaji jahat syukur tempat masalah gaji segi kualifikasi kompetensi mampu sesuai kesel kesal	Negatif	-1
uang kasih naik gaji kasih tenang batin pandemi kena imbas erti	Negatif	-1
pasti utama gaji perkara urus	Netral	0
uang edar salah inflasi mangkanya gaji naik pasti salah inflasi mangkanya naik gaji besar pilih	Positif	1
kena tukar gaji kena lihat faktor peluang staf staf cuti tempat kena angkut isteri angkut senarai	Negatif	-1
naik gaji karyawan naik	Positif	1
cakap pahit teruk kedekut gaji kecil buruk contoh henti	Negatif	-1
ramai henti gaji kurang harga kawan jahat beban repek kebaji abai	Negatif	-1
pecat karyawan kecil tonton bingung lucu marah	Negatif	-1
lokal indonesia prinsip wajar gaji beda maksimal harga upaya	Positif	1
hidup realitas ekonomi buah rugi gaji direksi potong tekan rugi karyawan penuh kait rantai pasok	Negatif	-1
indonesia gaji kurang jahat sadar	Negatif	-1
susah israel pribadi umkm gaji minimal turun drastis pasu turun israel tingkat pecah rumah	Netral	0
sadar pasti gaji besar salah pasti bocil matahari buta dunia mending nyaman	Positif	1
kontra tuju fokus stabil naik gaji stabil	Positif	1
sender lamar lamar mending gaji kecil telat bayar kantor susah akses kendara	Negatif	-1
gaji	Netral	0
kontrak gaji cukup nyaman	Netral	0
salah bagus kantor salah asuransi kantor mulia gaji besar jauh	Negatif	-1
manfaat buruh hemat gaji kurang tempat upah minimum rendah	Negatif	-1
salah ajar perkara gaji jahat peluang naik pangkat tukar	Negatif	-1
paksa bayar gaji paksa laku ganti rugi sisa kontrak wajib pasal ubah	Negatif	-1
sedikit kait kutu loncat manajemen loncat gaji naik drastis baca kutu loncat rekomendasi kasih kandidat	Positif	1
awak tukar bidang salah bosan salah dengar gaji	Negatif	-1
salah ajar perkara gaji jahat peluang naik pangkat tukar	Negatif	-1
kadang nama paragon segani mudah kasih tawar gaji lipat	Netral	0
kasir abdi ujang ujang gaji bangladesh	Netral	0
kandidat lamar taraf hidup gaji lihat gaji tempat juta tempat harap gaji	Netral	0
penasaran kandidat utama naik gaji rasa mentok kasih ruang rasa mentok tempat seru	Negatif	-1
putus duga uang buruk apartemen cicil beban salah kelola bisnis bayar apartemen gaji suka tarik uang	Negatif	-1
garagara gaji besar bonus kecil gaji kecil rasa sesal	Negatif	-1
rame generalisasi baca sisi positif kutu loncat posisi gaji	Positif	1
arti kuat gaji bumn lihat gaji timbang bingung pakai kasih	Positif	1
rela dekat rumah gaji kecil ongkos transpor rupiah sesal enak	Netral	0
muncul paksa gugat insentif gaji bayar janji kasih	Negatif	-1
efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat	Positif	1
real teman emosi malas jarang gaji uang makan jalan	Netral	0
gaji kurang berat rambut	Negatif	-1
gaji nyaman teman kalimat indah kepsek	Netral	0
susah pandemi beban depresi samping gaji keluarga sakit libur	Negatif	-1
kasih gaji auto sesal sesal	Netral	0
keren karyawan hamil rumah kuat kantor kasih bijak gaji cuti lahir gaji kasih habis cuti lahir	Positif	1
slip gaji gaji sisa situ tulis hitung bayar potong besar arti hitung	Netral	0
masalah utama gaji rekan laku tahi	Negatif	-1
teman gaji lumayan kurang	Negatif	-1
tempat turun lapang kadang malam lepas gaji besar pulang malam gaji standar keluh astagfirullah	Negatif	-1
sampah staff acah gaji berkat kena	Negatif	-1
manager pecat nyata busuk kirim masalah lebay naik gaji tarik besar	Negatif	-1
jujur dengar bosan gaji rasa lempar	Netral	0
efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat	Positif	1
kawan tawar loker mundur gaji pokok pagi pulang malam lembur partner jahat parah wajar	Negatif	-1
mbak alam mending mundur sehat mental besar gaji pangkat hancur mental hancur tuju gaji mental	Positif	1
tiada naik gaji masalah urus beban kurang wang sehat rupa faktor henti	Negatif	-1
masalah utama gaji rekan laku tahi	Negatif	-1
tempat tempat jarak gaji	Negatif	-1
palsu tempat asli gaji banding sistem jahat	Negatif	-1
wawancara finansial gaji etis	Positif	1
keren capek gaji	Netral	0
gaji sesuai cepat posisi	Positif	1
rencana naik gaji signifikan beban lembur bayar jelek	Negatif	-1
gaji bonus kuat habis waktu situ jerih payah pandang belah mata	Negatif	-1
salah gaji kurang kontribusi uang keluarga sang direktur peduli keluarga peduli pergi	Negatif	-1
lambat insentif gaji kecil pegawai utama nakes paksa	Netral	0
capek gaji besok langsung gaji	Positif	1
teman rsud jawa jawa gaji sesuai beban sulit dokter dikit perata dokter problem	Negatif	-1
ramai henti gaji kurang harga kawan jahat beban repek kebaji abai	Negatif	-1
habis gaji	Netral	0
karyawan gaji kecil gaji gaji kecil resah paket jahat ganti asik	Negatif	-1
ramai henti gaji kurang harga kawan jahat beban repek kebaji abai	Negatif	-1
gaji gaji naik gaji nilai bayar kecil	Positif	1
tempat masak kasir tamu gaji juta duduk sebentar istirahat manja	Negatif	-1
gaji banding beban	Negatif	-1
gaji duit gilir susah bayar	Negatif	-1
gaji pribadi julid dendam bingung	Negatif	-1
undang sabtu kondisi gaji	Positif	1
gaji jenis	Netral	0
susah target gaji minim jujur lamar	Negatif	-1
pergi tempat naik gaji karut ungkit jahat	Negatif	-1
ramai henti gaji kurang harga kawan jahat beban	Negatif	-1
paksa gaji bayar	Negatif	-1
gaji gaji pakai	Netral	0
tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji	Positif	1
problem kena tolak gaji maki plan	Negatif	-1
salah kuasa otak soak karyawan negosiasi gaji mandiri jejak nilai nilai tawar jual	Positif	1
jujur target gaji tawar kuat mending	Negatif	-1
gaji jakarta gaji juta dapur listrik tempat naik gaji kurang juta bosan	Positif	1
malas posisi naik jabat berat pilih pusing malas gaji besar	Negatif	-1
gaji pribadi julid dendam bingung	Negatif	-1
libur gaji tunggu juta penjara	Positif	1
buka negoisasi naik gaji laku naik gaji erti	Positif	1
tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji	Positif	1
acapkali arah tulis surat utara masalah alami tempat ketidakpuasan hati hadap skop jadual bayar gaji janji turun pangkat	Negatif	-1
tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji	Positif	1
minggu lancar kantor enak masalah gaji jarak putus	Negatif	-1
tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji	Positif	1
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka takut	Negatif	-1
gaji kena wajib bayar gaji	Negatif	-1
cakap pahit teruk kedekut gaji kecil buruk contoh henti	Negatif	-1
ramai henti gaji kurang harga kawan jahat beban repek kebaji abai	Negatif	-1
tanda patut stres lampau mental mahal gaji keliling jahat kaki jilat gaji naik kedekut dekat	Negatif	-1
prambanan jujur plan lembur gaji cukup potong bpjs	Negatif	-1
aman kurang cocok jujur gaji gaji	Negatif	-1
sebel gaji telat sebel lihat karyawan gaji telat pakai enak telat ambil cuti atur	Negatif	-1
henti syarikat gaji salah sesuai sekira	Netral	0
karyawan kurang pola maaf dekat rumah kapai daftar jauh rumah kemarin tempat gaji	Positif	1
konon pakai lepas naik gaji naik pangkat manager suruh	Positif	1
salah tidur beranta gaji minus potong	Negatif	-1
gaji cukup enak	Negatif	-1
kawan budak gaji kursus pergi kursus kepala	Positif	1
marah kecewa pasang kuat lamar tolak gaji gaji besar	Negatif	-1
gaji jauh ambil tawar kontrak pinalti	Negatif	-1
halo sender kantor langsung gaji kantor menang hasil	Positif	1
karyawan habis gaji henti karyawan klasik salah	Positif	1
gaji nekat ganti fase capek gaji juta	Positif	1
sender gaji slip gaji potong jamsostek saldo kantor arti bpjs gaji sender sedih	Negatif	-1
enak gaji kecil sedih paksa gaji kurang butuh	Negatif	-1
gaji telat telat	Negatif	-1
guru gaji kecil administrasi murid nakal wali murid rekan guru jahat	Positif	1
gaji putus libur gaji kurang juta jujur badan toleransi	Netral	0
pasti klasik jahat jahat gaji kecil besar bohong jujur tahan jumlah gaji	Negatif	-1
naik gaji garagara susah cuti libur ganggu syarat naik gaji cuti ganggu	Netral	0
gaji kecil jahat sesuai minat bahas versi hasil riset	Positif	1
tuju habis lulus gaji langsung besar minimal alam betah	Positif	1
atur suka suka manager atur karyawan karyawan izin sakit dokter gaji desember	Netral	0
pulang gaji tuntut rendah	Negatif	-1
gaji rendah teruk gaji gaji	Negatif	-1
ramai gaji harga jahat beban repek kebaji abai	Negatif	-1
ganti beda situ upah lembur gaji bpjs parkir bayar jarak tempuh jauh ijin tunjang cair	Negatif	-1
april kemarin sepeda keliling indonesia timur barusan telpon kepala toko gaji pesan selesai jalan	Netral	0
rencana gaji rencana minimal pasti suka	Netral	0
rumah admin data dada gaji suruh lantai angkat jemur jaga bayi utama mental lemah	Negatif	-1
ramai gaji kurang harga kawan jahat susah situ repek kebaji abai jaga jaga sehat	Negatif	-1
maaf bingung gaji sesuai bingung saran	Positif	1
tempat langsung suruh tunggu proses nama gaji habis catat nomor	Netral	0
tabiat bagus gaji omong jelek jelek	Negatif	-1
gaji mantap fleksibel dekat inti uang mantap	Positif	1
jahat teman gaji penuh fakta lapang maksimal pulang gila gaji minim sulit	Negatif	-1
besar gaji jomplang rasai gaji kabur	Netral	0
tetiba mesti jaga cucu hitung gaji suami gaji penuh bersih untung suami rasa hilang	Negatif	-1
niat ijin gaji capek kasih fasilitas kamar bobo asli ipar nafkah masak	Positif	1
ganti kaya gaji kadang uang makan tunjang gaji	Positif	1
bohong gaji alam	Negatif	-1
gaji naik gaji gaji tara langsung naik naik	Positif	1
gaji gaji kecil cukup butuh apresiasi tugas undang seleksi waktu	Negatif	-1
habis kontrak gaji naik mudah percaya naik gaji bentuk tulis kontrak ikat	Positif	1
gaji naik cepat	Positif	1
lompat mesti benda bagus sesuai gaji baca	Netral	0
bangun pagi semangat pergi tepu rutin rasa gain mati situ gaji timpal	Negatif	-1
standar gaji naik naik gaji pintar	Positif	1
efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat	Positif	1
efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat	Positif	1
tempat negatif rasa marah malas pergi teruk kaki bawang kipas naik gaji kaki bawang ubah perangai	Negatif	-1
tiada naik gaji masalah urus beban kurang wang sehat rupa faktor henti	Negatif	-1
peran milik andil besar karyawan latar kuat gaji gain koneksi pasti kena sasar	Positif	1
ramai henti gaji kurang harga kawan jahat beban repek kebaji abai	Negatif	-1
kantor waktu dekat gaji naik cepat strategi jangka buah utas perspektif hadap	Positif	1
gaji bawa pulang gaji doang muda rugi bawa pulang monitor inventaris kantor untung	Negatif	-1
jabodetabek wajar alias kutu loncat gaji naik daerah lapang rendah	Positif	1
suka zona nyaman perihal nyaman gaji besar cukup butuh suruh tolong kasih paham	Negatif	-1
lompat lompat relatif stabil cetak badai reda asik goreng gaji kena	Netral	0
ramai henti gaji kurang harga kawan jahat beban repek kebaji abai	Negatif	-1
dunia kantor salah pecat hilang gaji hilang nyawa tugas gaji enak	Negatif	-1
wajar arsenal arsenal main pengaruh latih uang transfer gaji masalah salah latih medioker	Negatif	-1
pengaruh besar harap alam gaji kecil jahat omong masalah cibir	Negatif	-1
kena tukar gaji kena lihat faktor peluang staf staf cuti tempat kena angkut isteri angkut senarai	Negatif	-1
lompat kenal kawan sorang lompat tukar tukar baju besar gaji	Netral	0
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka takut	Negatif	-1
pecat karyawan kecil tonton bingung lucu marah	Negatif	-1
gaji were	Netral	0
ramai henti gaji kurang harga kawan jahat beban repek kebaji abai	Negatif	-1
paham jamin naik gaji pangkat kena lompat naik	Positif	1
halo sender kantor langsung gaji kantor menang hasil	Positif	1
lokal indonesia prinsip wajar gaji beda maksimal harga upaya	Positif	1
gaji besar pengaruh nyaman tempat teman lumayan goyah	Negatif	-1
gaji aneh salah over kasih gaji besar capek ajar	Negatif	-1
gaji slip gaji dampak gaji gaji slip gaji ubah	Negatif	-1
tukar naik gaji ramai tuju tukar kaya majikan sahaja kaya	Positif	1
tukar naik gaji ramai tuju tukar kaya majikan sahaja kaya	Positif	1
wajar tukar tempat gaji naik loyal gaji naik tengok contoh situasi	Positif	1
buah syarikat rugi naik gaji minimum	Positif	1
sedikit kait kutu loncat manajemen loncat gaji naik drastis baca kutu loncat rekomendasi kasih kandidat	Positif	1
kecil jahat julid salah bumn gaji naik sopan jaman	Negatif	-1
gaji naik naik gaji gaji	Positif	1
utama gaji pakai indonesia indonesia gaji habis hidup	Netral	0
jakarta gaji tawar mutasi ponorogo gaji jakarta ponorogo murah ambil	Negatif	-1
salah ajar perkara gaji jahat peluang naik pangkat tukar	Negatif	-1
pergi dekat jabat sahaja utama besar nikmat tukar ganti nikmat	Positif	1
rame generalisasi baca sisi positif kutu loncat posisi gaji	Positif	1
rela dekat rumah gaji kecil ongkos transpor rupiah sesal enak	Netral	0
real jalan mesin karyawan jalan mesin karyawan arti karyawan pegang gaji	Positif	1
teman rekrut posisi gaji jauh nyata gaji beda jauh segi gaji fasilitas beda akomodasi tiket cuti tanggung	Negatif	-1
sehat manusiawi kompeten lokasi jangkau transportasi publik jauh rumah cuti cuti gaji besar over rendah	Negatif	-1
tempat harga jahat parah zona khawatir gaji gaji pasti rezeki	Netral	0
gaji sesuai harap tempat jahat gaji tempat nyaman	Negatif	-1
tempat negatif rasa marah malas pergi teruk kaki bawang kipas naik gaji kaki bawang ubah perangai	Negatif	-1
bimbang tempat jahat gaji tempat gaji	Negatif	-1
syukur tempat jahat gaji pasti main gaji tanggal tanggal gaji kasi kasih gila kasih	Negatif	-1
dekat tempat alami tempat gaji sikit kawan tempat gaji kawan jahat	Negatif	-1
gaji enak nyaman gaji tempat nyaman baca jahat	Netral	0
jahat mental tahan gaji	Negatif	-1
nyata ambil gaji pulang urus jahat sebal	Negatif	-1
tempat jahat gaji rezeki	Negatif	-1
suka uang jahat bodo ganti duli sesuai kontrak asyik gaji besar libur bagus paket	Positif	1
tempat negatif rasa marah malas pergi teruk kaki bawang kipas susah naik gaji	Negatif	-1
jahat gaji lampau sikit bonus kerah tenaga langsung bayar kena tahan maki rumah jauh	Negatif	-1
pengaruh besar harap alam gaji kecil jahat omong masalah cibir	Negatif	-1
over late gaji panggar	Netral	0
punca timpal gaji kena tanggungjawab silap staff alam percaya bagus naik pangkat drama	Positif	1
dunia lari jahat kawan gila kawan kawan gaji sikit	Negatif	-1
senang skala arti ketemu jahat jilat tukang cuman beda muka positif relatif pilih gaji besar	Negatif	-1
tempat negatif rasa marah malas pergi teruk kaki bawang kipas naik gaji kaki bawang ubah perangai	Negatif	-1
pilih jahat gaji dekat keluarga jahat gaji sepi teman tempat	Negatif	-1
betah tempat jahat lembur gaji ikhlas gaji ikhlas pulang malam nama	Negatif	-1
kasih gaji ganti jahat yayasan utang suami	Negatif	-1
tempat negatif rasa marah malas pergi teruk kaki bawang kipas naik gaji kaki bawang ubah perangai	Negatif	-1
tempat sistem lumayan jahat gaji kecil telat	Negatif	-1
tempat jahat gaji besar adem ayem gaji kecil	Negatif	-1
